ID_PROYECTO,PROGRAMA,UNIDAD,REGION
3546,ADMINISTRACIÓN DE EMPRESAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3514,TRABAJO SOCIAL,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3498,LICENCIATURA EN EDUCACIÓN PREESCOLAR,FACULTAD DE EDUCACIÓN Y HUMANIDADES,MEDELLÍN
3492,ADMINISTRACIÓN DE EMPRESAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3487,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MANIZALES
3486,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3805,NEGOCIOS INTERNACIONALES,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3783,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3736,ADMINISTRACIÓN DE EMPRESAS ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3619,DOCTORADO EN EDUCACIÓN,ESCUELA DE POSGRADOS,MEDELLÍN
3602,MAESTRÍA EN NEUROPSICOPEDAGOGÍA,ESCUELA DE POSGRADOS,MEDELLÍN
3567,ADMINISTRACIÓN DE EMPRESAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3557,ESPECIALIZACIÓN EN GESTIÓN EDUCATIVA,ESCUELA DE POSGRADOS,MEDELLÍN
3553,ADMINISTRACIÓN DE EMPRESAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3514,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3805,MAESTRÍA EN ADMINISTRACIÓN-MBA,ESCUELA DE POSGRADOS,MEDELLÍN
3783,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MEDELLÍN
3736,LICENCIATURA EN EDUCACIÓN INFANTIL,FACULTAD DE EDUCACIÓN Y HUMANIDADES,MEDELLÍN
3602,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
